initialRegeneration,time,Ko
Ok Clock @ error|0 w|0,3696,0.00476315762558612300
Ok Clock @ error|0 w|0,3697,0.00476315762558612300
Ok Clock @ error|0 w|0,3698,0.00476315762558612300
Ok Clock @ error|0 w|0,3699,0.00476315762558612300
Ok Clock @ error|0 w|0,3700,0.00476315762558612300
Ok Clock @ error|0 w|0,3701,0.00476315762558612300
Ok Clock @ error|0 w|0,3702,0.00476315762558612300
Ok Clock @ error|0 w|0,3703,0.00476315762558612300
Ok Clock @ error|0 w|0,3704,0.00476315762558612300
Ok Clock @ error|0 w|0,3705,0.00476315762558612300
Ok Clock @ error|0 w|0,3706,0.00476315762558612300
Ok Clock @ error|0 w|0,3707,0.00476315762558612300
Ok Clock @ error|0 w|0,3708,0.00476315762558612300
Ok Clock @ error|0 w|0,3709,0.00476315762558612300
Ok Clock @ error|0 w|0,3710,0.00476315762558612300
Ok Clock @ error|0 w|0,3711,0.00476315762558612300
Ok Clock @ error|0 w|0,3712,0.00476315762558612300
Ok Clock @ error|0 w|0,3713,0.00476315762558612300
Ok Clock @ error|0 w|0,3714,0.00476315762558612300
Ok Clock @ error|0 w|0,3715,0.00476315762558612300
Ok Clock @ error|0 w|0,3716,0.00476315762558612300
Ok Clock @ error|0 w|0,3717,0.00476315762558612300
Ok Clock @ error|0 w|0,3718,0.00476315762558612300
Ok Clock @ error|0 w|0,3719,0.00476315762558612300
Ok Clock @ error|0 w|0,3720,0.00476315762558612300
Ok Clock @ error|0 w|0,3721,0.00476315762558612300
Ok Clock @ error|0 w|0,3722,0.00476315762558612300
Ok Clock @ error|0 w|0,3723,0.00476315762558612300
Ok Clock @ error|0 w|0,3724,0.00476315762558612300
Ok Clock @ error|0 w|0,3725,0.00476315762558612300
Ok Clock @ error|0 w|0,3726,0.00476315762558612300
Ok Clock @ error|0 w|0,3727,0.00476315762558612300
Ok Clock @ error|0 w|0,3728,0.00476315762558612300
Ok Clock @ error|0 w|0,3729,0.00476315762558612300
Ok Clock @ error|0 w|0,3730,0.00476315762558612300
Ok Clock @ error|0 w|0,3731,0.00476315762558612300
Ok Clock @ error|0 w|0,3732,0.00476315762558612300
Ok Clock @ error|0 w|0,3733,0.00476315762558612300
Ok Clock @ error|0 w|0,3734,0.00476315762558612300
Ok Clock @ error|0 w|0,3735,0.00476315762558612300
Ok Clock @ error|0 w|0,3736,0.00476315762558612300
Ok Clock @ error|0 w|0,3737,0.00476315762558612300
Ok Clock @ error|0 w|0,3738,0.00476315762558612300
Ok Clock @ error|0 w|0,3739,0.00476315762558612300
Ok Clock @ error|0 w|0,3740,0.00476315762558612300
Ok Clock @ error|0 w|0,3741,0.00476315762558612300
Ok Clock @ error|0 w|0,3742,0.00476315762558612300
Ok Clock @ error|0 w|0,3743,0.00476315762558612300
Ok Clock @ error|0 w|0,3744,0.00476315762558612300
Ok Clock @ error|0 w|0,3745,0.00476315762558612300
Ok Clock @ error|0 w|0,3746,0.00476315762558612300
Ok Clock @ error|0 w|0,3747,0.00476315762558612300
Ok Clock @ error|0 w|0,3748,0.00476315762558612300
Ok Clock @ error|0 w|0,3749,0.00476315762558612300
Ok Clock @ error|0 w|0,3750,0.00476315762558612300
Ok Clock @ error|0 w|0,3751,0.00476315762558612300
Ok Clock @ error|0 w|0,3752,0.00476315762558612300
Ok Clock @ error|0 w|0,3753,0.00476315762558612300
Ok Clock @ error|0 w|0,3754,0.00476315762558612300
Ok Clock @ error|0 w|0,3755,0.00476315762558612300
Ok Clock @ error|0 w|0,3756,0.00476315762558612300
Ok Clock @ error|0 w|0,3757,0.00476315762558612300
Ok Clock @ error|0 w|0,3758,0.00476315762558612300
Ok Clock @ error|0 w|0,3759,0.00476315762558612300
Ok Clock @ error|0 w|0,3760,0.00476315762558612300
Ok Clock @ error|0 w|0,3761,0.00476315762558612300
Ok Clock @ error|0 w|0,3762,0.00476315762558612300
Ok Clock @ error|0 w|0,3763,0.00476315762558612300
Ok Clock @ error|0 w|0,3764,0.00476315762558612300
Ok Clock @ error|0 w|0,3765,0.00476315762558612300
Ok Clock @ error|0 w|0,3766,0.00476315762558612300
Ok Clock @ error|0 w|0,3767,0.00476315762558612300
Ok Clock @ error|0 w|0,3768,0.00476315762558612300
Ok Clock @ error|0 w|0,3769,0.00476315762558612300
Ok Clock @ error|0 w|0,3770,0.00476315762558612300
Ok Clock @ error|0 w|0,3771,0.00476315762558612300
Ok Clock @ error|0 w|0,3772,0.00476315762558612300
Ok Clock @ error|0 w|0,3773,0.00476315762558612300
Ok Clock @ error|0 w|0,3774,0.00476315762558612300
Ok Clock @ error|0 w|0,3775,0.00476315762558612300
Ok Clock @ error|0 w|0,3776,0.00476315762558612300
Ok Clock @ error|0 w|0,3777,0.00476315762558612300
Ok Clock @ error|0 w|0,3778,0.00476315762558612300
Ok Clock @ error|0 w|0,3779,0.00476315762558612300
Ok Clock @ error|0 w|0,3780,0.00476315762558612300
Ok Clock @ error|0 w|0,3781,0.00476315762558612300
Ok Clock @ error|0 w|0,3782,0.00476315762558612300
Ok Clock @ error|0 w|0,3783,0.00476315762558612300
Ok Clock @ error|0 w|0,3784,0.00476315762558612300
Ok Clock @ error|0 w|0,3785,0.00476315762558612300
Ok Clock @ error|0 w|0,3786,0.00476315762558612300
Ok Clock @ error|0 w|0,3787,0.00476315762558612300
Ok Clock @ error|0 w|0,3788,0.00476315762558612300
Ok Clock @ error|0 w|0,3789,0.00476315762558612300
Ok Clock @ error|0 w|0,3790,0.00476315762558612300
Ok Clock @ error|0 w|0,3791,0.00476315762558612300
Ok Clock @ error|0 w|0,3792,0.00476315762558612300
Ok Clock @ error|0 w|0,3793,0.00476315762558612300
Ok Clock @ error|0 w|0,3794,0.00476315762558612300
Ok Clock @ error|0 w|0,3795,0.00476315762558612300
Ok Clock @ error|0 w|0,3796,0.00476315762558612300
Ok Clock @ error|0 w|0,3797,0.00476315762558612300
Ok Clock @ error|0 w|0,3798,0.00476315762558612300
Ok Clock @ error|0 w|0,3799,0.00476315762558612300
Ok Clock @ error|0 w|0,3800,0.00476315762558612300
Ok Clock @ error|0 w|0,3801,0.00476315762558612300
Ok Clock @ error|0 w|0,3802,0.00476315762558612300
Ok Clock @ error|0 w|0,3803,0.00476315762558612300
Ok Clock @ error|0 w|0,3804,0.00476315762558612300
Ok Clock @ error|0 w|0,3805,0.00476315762558612300
Ok Clock @ error|0 w|0,3806,0.00476315762558612300
Ok Clock @ error|0 w|0,3807,0.00476315762558612300
Ok Clock @ error|0 w|0,3808,0.00476315762558612300
Ok Clock @ error|0 w|0,3809,0.00476315762558612300
Ok Clock @ error|0 w|0,3810,0.00476315762558612300
Ok Clock @ error|0 w|0,3811,0.00476315762558612300
Ok Clock @ error|0 w|0,3812,0.00476315762558612300
Ok Clock @ error|0 w|0,3813,0.00476315762558612300
Ok Clock @ error|0 w|0,3814,0.00476315762558612300
Ok Clock @ error|0 w|0,3815,0.00476315762558612300
Ok Clock @ error|0 w|0,3816,0.00476315762558612300
Ok Clock @ error|0 w|0,3817,0.00476315762558612300
Ok Clock @ error|0 w|0,3818,0.00476315762558612300
Ok Clock @ error|0 w|0,3819,0.00476315762558612300
Ok Clock @ error|0 w|0,3820,0.00476315762558612300
Ok Clock @ error|0 w|0,3821,0.00476315762558612300
Ok Clock @ error|0 w|0,3822,0.00476315762558612300
Ok Clock @ error|0 w|0,3823,0.00476315762558612300
Ok Clock @ error|0 w|0,3824,0.00476315762558612300
Ok Clock @ error|0 w|0,3825,0.00476315762558612300
Ok Clock @ error|0 w|0,3826,0.00476315762558612300
Ok Clock @ error|0 w|0,3827,0.00476315762558612300
Ok Clock @ error|0 w|0,3828,0.00476315762558612300
Ok Clock @ error|0 w|0,3829,0.00476315762558612300
Ok Clock @ error|0 w|0,3830,0.00476315762558612300
Ok Clock @ error|0 w|0,3831,0.00476315762558612300
Ok Clock @ error|0 w|0,3832,0.00476315762558612300
Ok Clock @ error|0 w|0,3833,0.00476315762558612300
Ok Clock @ error|0 w|0,3834,0.00476315762558612300
Ok Clock @ error|0 w|0,3835,0.00476315762558612300
Ok Clock @ error|0 w|0,3836,0.00476315762558612300
Ok Clock @ error|0 w|0,3837,0.00476315762558612300
Ok Clock @ error|0 w|0,3838,0.00476315762558612300
Ok Clock @ error|0 w|0,3839,0.00476315762558612300
Ok Clock @ error|0 w|0,3840,0.00476315762558612300
Ok Clock @ error|0 w|0,3841,0.00476315762558612300
Ok Clock @ error|0 w|0,3842,0.00476315762558612300
Ok Clock @ error|0 w|0,3843,0.00476315762558612300
Ok Clock @ error|0 w|0,3844,0.00476315762558612300
Ok Clock @ error|0 w|0,3845,0.00476315762558612300
Ok Clock @ error|0 w|0,3846,0.00476315762558612300
Ok Clock @ error|0 w|0,3847,0.00476315762558612300
Ok Clock @ error|0 w|0,3848,0.00476315762558612300
Ok Clock @ error|0 w|0,3849,0.00476315762558612300
Ok Clock @ error|0 w|0,3850,0.00476315762558612300
Ok Clock @ error|0 w|0,3851,0.00476315762558612300
Ok Clock @ error|0 w|0,3852,0.00476315762558612300
Ok Clock @ error|0 w|0,3853,0.00476315762558612300
Ok Clock @ error|0 w|0,3854,0.00476315762558612300
Ok Clock @ error|0 w|0,3855,0.00476315762558612300
Ok Clock @ error|0 w|0,3856,0.00476315762558612300
Ok Clock @ error|0 w|0,3857,0.00476315762558612300
Ok Clock @ error|0 w|0,3858,0.00476315762558612300
Ok Clock @ error|0 w|0,3859,0.00476315762558612300
Ok Clock @ error|0 w|0,3860,0.00476315762558612300
Ok Clock @ error|0 w|0,3861,0.00476315762558612300
Ok Clock @ error|0 w|0,3862,0.00476315762558612300
Ok Clock @ error|0 w|0,3863,0.00476315762558612300
Ok Clock @ error|0 w|0,3864,0.00476315762558612300
Ok Clock @ error|0 w|0,3865,0.00476315762558612300
Ok Clock @ error|0 w|0,3866,0.00476315762558612300
Ok Clock @ error|0 w|0,3867,0.00476315762558612300
Ok Clock @ error|0 w|0,3868,0.00476315762558612300
Ok Clock @ error|0 w|0,3869,0.00476315762558612300
Ok Clock @ error|0 w|0,3870,0.00476315762558612300
Ok Clock @ error|0 w|0,3871,0.00476315762558612300
Ok Clock @ error|0 w|0,3872,0.00476315762558612300
Ok Clock @ error|0 w|0,3873,0.00476315762558612300
Ok Clock @ error|0 w|0,3874,0.00476315762558612300
Ok Clock @ error|0 w|0,3875,0.00476315762558612300
Ok Clock @ error|0 w|0,3876,0.00476315762558612300
Ok Clock @ error|0 w|0,3877,0.00476315762558612300
Ok Clock @ error|0 w|0,3878,0.00476315762558612300
Ok Clock @ error|0 w|0,3879,0.00476315762558612300
Ok Clock @ error|0 w|0,3880,0.00476315762558612300
Ok Clock @ error|0 w|0,3881,0.00476315762558612300
Ok Clock @ error|0 w|0,3882,0.00476315762558612300
Ok Clock @ error|0 w|0,3883,0.00476315762558612300
Ok Clock @ error|0 w|0,3884,0.00476315762558612300
Ok Clock @ error|0 w|0,3885,0.00476315762558612300
Ok Clock @ error|0 w|0,3886,0.00476315762558612300
Ok Clock @ error|0 w|0,3887,0.00476315762558612300
Ok Clock @ error|0 w|0,3888,0.00476315762558612300
Ok Clock @ error|0 w|0,3889,0.00476315762558612300
Ok Clock @ error|0 w|0,3890,0.00476315762558612300
Ok Clock @ error|0 w|0,3891,0.00476315762558612300
Ok Clock @ error|0 w|0,3892,0.00476315762558612300
Ok Clock @ error|0 w|0,3893,0.00476315762558612300
Ok Clock @ error|0 w|0,3894,0.00476315762558612300
Ok Clock @ error|0 w|0,3895,0.00476315762558612300
Ok Clock @ error|0 w|0,3896,0.00476315762558612300
Ok Clock @ error|0 w|0,3897,0.00476315762558612300
Ok Clock @ error|0 w|0,3898,0.00476315762558612300
Ok Clock @ error|0 w|0,3899,0.00476315762558612300
Ok Clock @ error|0 w|0,3900,0.00476315762558612300
Ok Clock @ error|0 w|0,3901,0.00476315762558612300
Ok Clock @ error|0 w|0,3902,0.00476315762558612300
Ok Clock @ error|0 w|0,3903,0.00476315762558612300
Ok Clock @ error|0 w|0,3904,0.00476315762558612300
Ok Clock @ error|0 w|0,3905,0.00476315762558612300
Ok Clock @ error|0 w|0,3906,0.00476315762558612300
Ok Clock @ error|0 w|0,3907,0.00476315762558612300
Ok Clock @ error|0 w|0,3908,0.00476315762558612300
Ok Clock @ error|0 w|0,3909,0.00476315762558612300
Ok Clock @ error|0 w|0,3910,0.00476315762558612300
Ok Clock @ error|0 w|0,3911,0.00476315762558612300
Ok Clock @ error|0 w|0,3912,0.00476315762558612300
Ok Clock @ error|0 w|0,3913,0.00476315762558612300
Ok Clock @ error|0 w|0,3914,0.00476315762558612300
Ok Clock @ error|0 w|0,3915,0.00476315762558612300
Ok Clock @ error|0 w|0,3916,0.00476315762558612300
Ok Clock @ error|0 w|0,3917,0.00476315762558612300
Ok Clock @ error|0 w|0,3918,0.00476315762558612300
Ok Clock @ error|0 w|0,3919,0.00476315762558612300
Ok Clock @ error|0 w|0,3920,0.00476315762558612300
Ok Clock @ error|0 w|0,3921,0.00476315762558612300
Ok Clock @ error|0 w|0,3922,0.00476315762558612300
Ok Clock @ error|0 w|0,3923,0.00476315762558612300
Ok Clock @ error|0 w|0,3924,0.00476315762558612300
Ok Clock @ error|0 w|0,3925,0.00476315762558612300
Ok Clock @ error|0 w|0,3926,0.00476315762558612300
Ok Clock @ error|0 w|0,3927,0.00476315762558612300
Ok Clock @ error|0 w|0,3928,0.00476315762558612300
Ok Clock @ error|0 w|0,3929,0.00476315762558612300
Ok Clock @ error|0 w|0,3930,0.00476315762558612300
Ok Clock @ error|0 w|0,3931,0.00476315762558612300
Ok Clock @ error|0 w|0,3932,0.00476315762558612300
Ok Clock @ error|0 w|0,3933,0.00476315762558612300
Ok Clock @ error|0 w|0,3934,0.00476315762558612300
Ok Clock @ error|0 w|0,3935,0.00476315762558612300
Ok Clock @ error|0 w|0,3936,0.00476315762558612300
Ok Clock @ error|0 w|0,3937,0.00476315762558612300
Ok Clock @ error|0 w|0,3938,0.00476315762558612300
Ok Clock @ error|0 w|0,3939,0.00476315762558612300
Ok Clock @ error|0 w|0,3940,0.00476315762558612300
Ok Clock @ error|0 w|0,3941,0.00476315762558612300
Ok Clock @ error|0 w|0,3942,0.00476315762558612300
Ok Clock @ error|0 w|0,3943,0.00476315762558612300
Ok Clock @ error|0 w|0,3944,0.00476315762558612300
Ok Clock @ error|0 w|0,3945,0.00476315762558612300
Ok Clock @ error|0 w|0,3946,0.00476315762558612300
Ok Clock @ error|0 w|0,3947,0.00476315762558612300
Ok Clock @ error|0 w|0,3948,0.00476315762558612300
Ok Clock @ error|0 w|0,3949,0.00476315762558612300
Ok Clock @ error|0 w|0,3950,0.00476315762558612300
Ok Clock @ error|0 w|0,3951,0.00476315762558612300
Ok Clock @ error|0 w|0,3952,0.00476315762558612300
Ok Clock @ error|0 w|0,3953,0.00476315762558612300
Ok Clock @ error|0 w|0,3954,0.00476315762558612300
Ok Clock @ error|0 w|0,3955,0.00476315762558612300
Ok Clock @ error|0 w|0,3956,0.00476315762558612300
Ok Clock @ error|0 w|0,3957,0.00476315762558612300
Ok Clock @ error|0 w|0,3958,0.00476315762558612300
Ok Clock @ error|0 w|0,3959,0.00476315762558612300
Ok Clock @ error|0 w|0,3960,0.00476315762558612300
Ok Clock @ error|0 w|0,3961,0.00476315762558612300
Ok Clock @ error|0 w|0,3962,0.00476315762558612300
Ok Clock @ error|0 w|0,3963,0.00476315762558612300
Ok Clock @ error|0 w|0,3964,0.00476315762558612300
Ok Clock @ error|0 w|0,3965,0.00476315762558612300
Ok Clock @ error|0 w|0,3966,0.00476315762558612300
Ok Clock @ error|0 w|0,3967,0.00476315762558612300
Ok Clock @ error|0 w|0,3968,0.00476315762558612300
Ok Clock @ error|0 w|0,3969,0.00476315762558612300
Ok Clock @ error|0 w|0,3970,0.00476315762558612300
Ok Clock @ error|0 w|0,3971,0.00476315762558612300
Ok Clock @ error|0 w|0,3972,0.00476315762558612300
Ok Clock @ error|0 w|0,3973,0.00476315762558612300
Ok Clock @ error|0 w|0,3974,0.00476315762558612300
Ok Clock @ error|0 w|0,3975,0.00476315762558612300
Ok Clock @ error|0 w|0,3976,0.00476315762558612300
Ok Clock @ error|0 w|0,3977,0.00476315762558612300
Ok Clock @ error|0 w|0,3978,0.00476315762558612300
Ok Clock @ error|0 w|0,3979,0.00476315762558612300
Ok Clock @ error|0 w|0,3980,0.00476315762558612300
Ok Clock @ error|0 w|0,3981,0.00476315762558612300
Ok Clock @ error|0 w|0,3982,0.00476315762558612300
Ok Clock @ error|0 w|0,3983,0.00476315762558612300
Ok Clock @ error|0 w|0,3984,0.00476315762558612300
Ok Clock @ error|0 w|0,3985,0.00476315762558612300
Ok Clock @ error|0 w|0,3986,0.00476315762558612300
Ok Clock @ error|0 w|0,3987,0.00476315762558612300
Ok Clock @ error|0 w|0,3988,0.00476315762558612300
Ok Clock @ error|0 w|0,3989,0.00476315762558612300
Ok Clock @ error|0 w|0,3990,0.00476315762558612300
Ok Clock @ error|0 w|0,3991,0.00476315762558612300
Ok Clock @ error|0 w|0,3992,0.00476315762558612300
Ok Clock @ error|0 w|0,3993,0.00476315762558612300
Ok Clock @ error|0 w|0,3994,0.00476315762558612300
Ok Clock @ error|0 w|0,3995,0.00476315762558612300
Ok Clock @ error|0 w|0,3996,0.00476315762558612300
Ok Clock @ error|0 w|0,3997,0.00476315762558612300
Ok Clock @ error|0 w|0,3998,0.00476315762558612300
Ok Clock @ error|0 w|0,3999,0.00476315762558612300
Ok Clock @ error|0 w|0,4000,0.00476315762558612300
Ok Clock @ error|0 w|0,4001,0.00476315762558612300
Ok Clock @ error|0 w|0,4002,0.00476315762558612300
Ok Clock @ error|0 w|0,4003,0.00476315762558612300
Ok Clock @ error|0 w|0,4004,0.00476315762558612300
Ok Clock @ error|0 w|0,4005,0.00476315762558612300
Ok Clock @ error|0 w|0,4006,0.00476315762558612300
Ok Clock @ error|0 w|0,4007,0.00476315762558612300
Ok Clock @ error|0 w|0,4008,0.00476315762558612300
Ok Clock @ error|0 w|0,4009,0.00476315762558612300
Ok Clock @ error|0 w|0,4010,0.00476315762558612300
Ok Clock @ error|0 w|0,4011,0.00476315762558612300
Ok Clock @ error|0 w|0,4012,0.00476315762558612300
Ok Clock @ error|0 w|0,4013,0.00476315762558612300
Ok Clock @ error|0 w|0,4014,0.00476315762558612300
Ok Clock @ error|0 w|0,4015,0.00476315762558612300
Ok Clock @ error|0 w|0,4016,0.00476315762558612300
Ok Clock @ error|0 w|0,4017,0.00476315762558612300
Ok Clock @ error|0 w|0,4018,0.00476315762558612300
Ok Clock @ error|0 w|0,4019,0.00476315762558612300
Ok Clock @ error|0 w|0,4020,0.00476315762558612300
Ok Clock @ error|0 w|0,4021,0.00476315762558612300
Ok Clock @ error|0 w|0,4022,0.00476315762558612300
Ok Clock @ error|0 w|0,4023,0.00476315762558612300
Ok Clock @ error|0 w|0,4024,0.00476315762558612300
Ok Clock @ error|0 w|0,4025,0.00476315762558612300
Ok Clock @ error|0 w|0,4026,0.00476315762558612300
Ok Clock @ error|0 w|0,4027,0.00476315762558612300
Ok Clock @ error|0 w|0,4028,0.00476315762558612300
Ok Clock @ error|0 w|0,4029,0.00476315762558612300
Ok Clock @ error|0 w|0,4030,0.00476315762558612300
Ok Clock @ error|0 w|0,4031,0.00476315762558612300
Ok Clock @ error|0 w|0,4032,0.00476315762558612300
Ok Clock @ error|0 w|0,4033,0.00476315762558612300
Ok Clock @ error|0 w|0,4034,0.00476315762558612300
Ok Clock @ error|0 w|0,4035,0.00476315762558612300
Ok Clock @ error|0 w|0,4036,0.00476315762558612300
Ok Clock @ error|0 w|0,4037,0.00476315762558612300
Ok Clock @ error|0 w|0,4038,0.00476315762558612300
Ok Clock @ error|0 w|0,4039,0.00476315762558612300
Ok Clock @ error|0 w|0,4040,0.00476315762558612300
Ok Clock @ error|0 w|0,4041,0.00476315762558612300
Ok Clock @ error|0 w|0,4042,0.00476315762558612300
Ok Clock @ error|0 w|0,4043,0.00476315762558612300
Ok Clock @ error|0 w|0,4044,0.00476315762558612300
Ok Clock @ error|0 w|0,4045,0.00476315762558612300
Ok Clock @ error|0 w|0,4046,0.00476315762558612300
Ok Clock @ error|0 w|0,4047,0.00476315762558612300
Ok Clock @ error|0 w|0,4048,0.00476315762558612300
Ok Clock @ error|0 w|0,4049,0.00476315762558612300
Ok Clock @ error|0 w|0,4050,0.00476315762558612300
Ok Clock @ error|0 w|0,4051,0.00476315762558612300
Ok Clock @ error|0 w|0,4052,0.00476315762558612300
Ok Clock @ error|0 w|0,4053,0.00476315762558612300
Ok Clock @ error|0 w|0,4054,0.00476315762558612300
Ok Clock @ error|0 w|0,4055,0.00476315762558612300
Ok Clock @ error|0 w|0,4056,0.00476315762558612300
Ok Clock @ error|0 w|0,4057,0.00476315762558612300
Ok Clock @ error|0 w|0,4058,0.00476315762558612300
Ok Clock @ error|0 w|0,4059,0.00476315762558612300
Ok Clock @ error|0 w|0,4060,0.00476315762558612300
Ok Clock @ error|0 w|0,4061,0.00476315762558612300
Ok Clock @ error|0 w|0,4062,0.00476315762558612300
Ok Clock @ error|0 w|0,4063,0.00476315762558612300
Ok Clock @ error|0 w|0,4064,0.00476315762558612300
Ok Clock @ error|0 w|0,4065,0.00476315762558612300
Ok Clock @ error|0 w|0,4066,0.00476315762558612300
Ok Clock @ error|0 w|0,4067,0.00476315762558612300
Ok Clock @ error|0 w|0,4068,0.00476315762558612300
Ok Clock @ error|0 w|0,4069,0.00476315762558612300
Ok Clock @ error|0 w|0,4070,0.00476315762558612300
Ok Clock @ error|0 w|0,4071,0.00476315762558612300
Ok Clock @ error|0 w|0,4072,0.00476315762558612300
Ok Clock @ error|0 w|0,4073,0.00476315762558612300
Ok Clock @ error|0 w|0,4074,0.00476315762558612300
Ok Clock @ error|0 w|0,4075,0.00476315762558612300
Ok Clock @ error|0 w|0,4076,0.00476315762558612300
Ok Clock @ error|0 w|0,4077,0.00476315762558612300
Ok Clock @ error|0 w|0,4078,0.00476315762558612300
Ok Clock @ error|0 w|0,4079,0.00476315762558612300
